"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"12","0012200","001220006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",22,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"21","0012400","001240007","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",18,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"32","0012500","001250008","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"42","0020100","002010005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",19,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"52","0020400","002040004","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Sangat taat","Perempuan",18,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Ya"
"68","0021800","002180006","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",19,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"69","0021841","002180007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"90","0022500","002250005","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",19,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"94","0022600","002260005","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Tidak taat","Perempuan",24,"Belum Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"114","0030200","003020003","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Agak taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"139","0030500","003050007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",19,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"160","0031042","003104201","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
